ID,Type_of_AC,Model,Cooling_Capacity,Avg_Temp,Room_SIze,Num_People,Star_Rating,Age_of_Unit,Maintenance,Avg_Usage,Avg_AC_Temp,City,Input_Power,Electricity_Consumption_AC
795823,Split,1.5,6579.15,43,1873.5,3,3,5,0,1.72,31.33333333,Cairo,2863.295221,1.924
506848,Window,1.1,6775.44,46,1603.8,4,4,1,0,18,29.5,Bucharest,2783.309698,1.341
441027,Portable,3.8,6995.22,29,4807,38,4,1,0,0.551,13.76315789,Berlin,2882.606418,2.702
160677,Window,1.2,1863.68,39,1466.4,10,4,0,0,19.54,22.9,Cape Town,2607.089566,1.541
902932,Window,2.76,3089.04,40,3139.4,9,5,4,0,16.76,18.44444444,Berlin,2681.359161,2.182
553568,Portable,2.2,6014.6,43,3113,6,4,6,1,17.286,18.16666667,Moscow,2994.494603,2.567
575810,Ducted,1.8,1782.98,34,2527.2,17,5,5,0,2.516,14,Delhi,2964.533711,1.598
820893,Ducted,2.5,2413.75,35,3100,24,5,3,0,11.97,14.45833333,Sao Paolo,2637.227622,1.694
560651,Ducted,1.3,7543.88,38,1818.7,9,1,6,0,12.738,17.22222222,Berlin,2719.611326,2.265
475468,Split,3.4,6732.16,34,4331.6,30,3,3,0,18.768,17.13333333,New York,2986.438366,2.395
773019,Window,2.5,4401.25,29,3680,7,4,2,0,7.917,14.14285714,Sao Paolo,2743.298474,1.973
801600,Ducted,3.7,3151,38,4628.7,32,4,3,0,6.726,20.1875,Geneva,2682.989859,2.284
597071,Portable,3.1,6453.06,33,4154,29,5,4,0,19.767,16.13793103,Berlin,3162.37129,2.698
625099,Portable,1.2,11267.2,38,1467.6,4,5,2,0,14.144,20.5,Moscow,2838.138834,1.381
788506,Ducted,10.8,5974.08,35,3642.3,7,3,2,0,4.13,21,Bucharest,2942.542645,2.214
308559,Split,3.9,8149.57,43,5358.6,21,4,5,0,16,17.04761905,Delhi,3026.469106,2.78
147406,Ducted,1.3,4468.02,37,1801.8,3,4,5,0,16.206,24.33333333,Delhi,3124.819334,1.97
892059,Ducted,2.3,2870.82,40,2868.1,20,4,6,0,16.92,13,Mumbai,3038.393527,1.887
489042,Window,1.6,5631.8,35,2337.6,18,5,0,1,13.195,12.94444444,Berlin,2879.891856,1.818
201419,Portable,15.6,1727.77,37,5775.9,11,4,3,0,17,16.36363636,Cape Town,2823.689237,2.446
970429,Portable,2.7,11663.68,40,3798.9,7,3,5,0,7.08,16.71428571,Berlin,2686.09674,2.177
